Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2013,3,599609739000,-307467000,599302272000,-384246125000,215056147000,309566141000,-180509434000,-154496482000,-20631273000,-58625124000,264856457000,29604460000,-37640561000,-8036101000,0,256820356000,-1581605000,-17141769000,-18723374000,238096982000,2513667000,235583315000,327,0
2013,4,755525497000,-391933000,755133564000,-422621758000,332511806000,180083585000,-198122694000,-107835975000,-10896511000,-73344635000,230231551000,53530155000,-20257413000,33272742000,-982218000,262522075000,-25747481000,19659343000,-6088138000,256433937000,-39220640000,295654577000,412,0
2014,4,655550065000,-66766000,655483299000,-462919088000,192564211000,204092625000,-194457367000,-177920221000,-12870507000,-83158424000,106170538000,2875587000,-28698414000,-25822827000,0,80347711000,-16561843000,3633033000,-12928810000,67418901000,14061365000,53357536000,68,0
2015,1,1049259516000,0,1049259516000,-615809246000,433450270000,172931096000,-243867645000,-219229843000,-16393385000,-62153713000,283966623000,161125490000,-4773289000,156352201000,0,440318824000,-70356364000,2548048000,-67808316000,372510508000,7370697000,365139811000,462,0
2015,2,1986483733000,-35528000,1986448205000,-1205319215000,781128990000,357534003000,-252166641000,-240085190000,-20081555000,-102836710000,763578087000,1236028000,-164258516000,-163022488000,0,600555599000,-76712891000,16704508000,-60008383000,540547216000,74245921000,466301295000,574,0
2015,3,2168087987000,0,2168087987000,-1531246477000,636841510000,313613736000,-357887051000,-290502191000,-47598471000,-72149932000,471891173000,4039203000,-4244778000,-205575000,0,471685598000,-38130575000,-4067106000,-42197681000,429487917000,51617287000,377870630000,474,0
2015,4,1049144041000,0,1049144041000,-925578733000,123565308000,232543476000,-374568052000,-326388757000,-33206551000,-76054993000,-128690356000,14154840000,-440066169000,-425911329000,0,-554601685000,31689848000,-66009927000,-34320079000,-588921764000,-22612060000,-566309704000,-722,0
2016,1,1972292199000,-96817000,1972195382000,-1676693985000,295501397000,216847266000,-304146562000,-282266762000,-26540281000,-76038506000,105661158000,4598038000,-23127032000,-18528994000,0,87132164000,-12617040000,16399352000,3782312000,90914476000,21561440000,69353036000,88,0
2016,2,1686249718000,-800077000,1685449641000,-1402304650000,283144991000,353857283000,-584262228000,-515210622000,-64325282000,-289943965000,-312270214000,1527792000,-894849695000,-893321903000,0,-1205592117000,-5098367000,-71453546000,-76551913000,-1282144030000,-350696808000,-931447222000,-1179,0
2016,3,1254107155000,-387084000,1253720071000,-1068082550000,185637521000,240298933000,-405159143000,-377543211000,-35712941000,-91989088000,-110596011000,52927424000,-11833905000,41093519000,0,-69502492000,-9010996000,1494755000,-7516241000,-77018733000,-43091272000,-33927461000,-43,0
2016,4,1547291844000,-4181665000,1543110179000,-1307209806000,235900373000,176614983000,-397015346000,-382066557000,-37024356000,-15814499000,-22466637000,78523146000,-263069911000,-184546765000,0,-207013402000,18338772000,42256999000,60595771000,-146417631000,-22398904000,-124018727000,-157,0
2017,1,824014210000,0,824014210000,-605090667000,218923543000,145866503000,-252994018000,-251239838000,-29831315000,-101887266000,-31741051000,47476678000,-7254684000,40221994000,0,8480943000,-18837736000,26737308000,7899572000,16380515000,10538396000,5842119000,7,0
2017,2,1652525963000,0,1652525963000,-1043990705000,608535258000,1025152551000,-526428023000,-487726853000,-33218866000,-214537272000,871946264000,41043789000,-63133544000,-22089755000,0,849856509000,-21184957000,11040817000,-10144140000,839712369000,278342342000,561370027000,695,0
2017,3,1258977032000,0,1258977032000,-824810824000,434166208000,294502164000,-331354542000,-325774254000,-32694527000,-175506569000,194187823000,125750907000,-132427646000,-6676739000,0,187511084000,69897000,-14546930000,-14477033000,173034051000,52834597000,120199454000,130,0
2017,4,1160158205000,-15190000,1160143015000,-571673300000,588469715000,143198648000,-381277553000,-387041472000,-50060174000,-155776099000,131483155000,62111893000,-183766707000,-121654814000,0,9828341000,-3095402000,-3369021000,-6464423000,3363918000,61901604000,-58537686000,0,0
2018,1,1026781683000,0,1026781683000,-547708547000,479073136000,265154784000,-396082714000,-376643990000,-39778009000,-156771933000,137538340000,2533634000,-107667740000,-105134106000,0,32404234000,-115437000,24354498000,24239061000,56643295000,54035265000,2608030000,3,0
2018,2,1887983723000,0,1887983723000,-938764309000,949219414000,171039541000,-527611057000,-428655799000,-54605031000,-333709328000,205851193000,4133341000,-115050406000,-110917065000,0,94934128000,4233792000,-55586226000,-51352434000,43581694000,80736402000,-37154708000,-40,0
2018,3,1520609191000,0,1520609191000,-658396633000,862212558000,740394810000,-442665687000,-407529415000,-50524467000,-212467198000,947664047000,7310593000,-562542451000,-555231858000,0,392432189000,-6531690000,-8258728000,-14790418000,377641771000,-25535237000,403177008000,435,0
2018,4,1042773432000,0,1042773432000,-818856495000,223916937000,210914640000,-318627212000,-326116098000,-47538707000,-291322539000,-195190213000,32208387000,-181447153000,-149238766000,0,-344428979000,-585040000,-33196751000,-33781791000,-378210770000,-124923581000,-253287189000,-273,-273
2019,1,410223705000,0,410223705000,-324847356000,85376349000,198501484000,-360171807000,-328353118000,-38489276000,-166214564000,-252002953000,341766157000,-69443726000,272322431000,0,20319478000,-529412000,1711070000,1181658000,21501136000,-14668478000,36169614000,39,0
2019,2,512374782000,0,512374782000,-361136180000,151238602000,178454563000,-381245172000,-355818482000,-102745054000,-194595898000,-342447933000,21286262000,-382811404000,-361525142000,0,-703973075000,-434081000,-23190538000,-23624619000,-727597694000,-174899856000,-552697838000,-596,0
2019,3,566363249000,-9324700000,557038549000,-553603316000,3435233000,1438727782000,-272682592000,-248519193000,-90737114000,-136567454000,882459853000,4506292000,-1433320184000,-1428813892000,0,-546354039000,-462405000,-13017469000,-13479874000,-559833913000,-1273463707000,713629794000,769,0
2019,4,609694039000,-7064450000,602629589000,-621689656000,-19060067000,257849656000,-349203912000,-287647055000,-75571854000,-92906712000,-242054427000,11005463000,-281589139000,-270583676000,0,-512638103000,-827592000,170243131000,169415539000,-343222564000,-399277358000,56054794000,92,92
2020,1,835995736000,-2381736000,833614000000,-550944912000,282669088000,157128481000,-323656015000,-267384264000,-84378084000,-98617119000,-64650445000,18424943000,-32967484000,-14542541000,0,-79192986000,-139992000,1118016000,978024000,-78214962000,-9018965000,-69195997000,-75,0
2020,2,646889329000,-10724647000,636164682000,-511582773000,124581909000,267477214000,-286512311000,-288507721000,-131758612000,-67364171000,-94185035000,78828499000,-46582048000,32246451000,0,-61938584000,-181568000,-2499607000,-2681175000,-64619759000,-75080591000,10460832000,11,0
