Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2012,2,36513372729,0,36513372729,-14280570779,22232801950,107152223,-6241147555,-6241147555,-4933452168,-2217310994,8948043456,78317000,0,78317000,0,9026360456,-451318023,0,-451318023,8575042433,0,8575042433,343,0
2012,3,37784868187,0,37784868187,-15549949345,22234918842,104598655,-5746286445,-5746286445,-4646474676,-706079191,11240677185,18086013,0,18086013,0,11258763198,-562938160,0,-562938160,10695825038,0,10695825038,429,0
2012,4,86276151194,0,86276151194,-60979142475,25297008719,1597756544,-5075314202,-5075314202,-4289596433,-1273407159,16256447469,100102500,-4074600,96027900,0,16352475369,-712647118,0,-712647118,15639828251,0,15639828251,627,0
2013,1,43551554554,0,43551554554,-19769736285,23781818269,8122518,-4042657922,-4042657922,-5620346714,-3006006140,11120930011,14148000,0,14148000,0,11135078011,-556753901,0,-556753901,10578324110,0,10578324110,424,0
2013,2,42492639917,0,42492639917,-18273116349,24219523568,1525475420,-3458492756,-3458492756,-5916961172,-2987704742,13381840318,135153896,-101891896,33262000,0,13415102318,-670755116,0,-670755116,12744347202,0,12744347202,511,0
2013,3,43177309083,0,43177309083,-23092332001,20084977082,14374564,-2526866537,-2526866537,-4722151903,-806957287,12043375919,33560413,0,33560413,0,12076936332,-603846817,0,-603846817,11473089515,0,11473089515,460,0
2013,4,52850213859,0,52850213859,-40104165959,12746047900,984263551,-2131613742,-2131613742,-6001763532,-2769691749,2827242428,56837655,-3758740,53078915,0,2880321343,-52568746,0,-52568746,2827752597,0,2827752597,113,0
2014,4,42955055428,0,42955055428,-26172996588,16782058840,108130186,-146931128,-146931128,-3877207584,-1728967478,11137082836,5700648,-2000004,3700644,0,11140783480,-499811914,0,-499811914,10640971566,0,10640971566,427,0
2015,1,69045140855,0,69045140855,-38598007068,30447133787,671743378,-5785858974,5785858974,-7592421080,-4630192697,13110404414,43308700,0,43308700,0,13153713114,-657685656,0,-657685656,12496027458,0,12496027458,501,0
2015,2,73841344950,0,73841344950,-40917327208,32924017742,426873717,-6099980968,-17671698916,-9312804698,-3854135504,14083970289,13138999,0,13138999,0,14097109288,-704855464,0,-704855464,13392253824,0,13392253824,537,0
2015,3,77882895642,0,77882895642,-46304887528,31578008114,176933783,-6271826112,-6271826112,-7726528279,-3389382305,14367205201,35722400,0,35722400,0,14402927601,-720146380,0,-720146380,13682781221,0,13682781221,548,0
2015,4,82681088913,0,82681088913,-45890029185,36791059728,514988560,-6371747407,-6371747407,-7856868917,-3969273119,19108158845,80557190,-14371218,66185972,0,19174344817,-2745366421,1770109389,-975257032,18199087785,0,18199087785,729,0
2016,1,107081582151,0,107081582151,-74441971960,32639610191,350118044,-6504629984,-6504629984,-6753830565,-2826146700,16905120986,82699136,-6000000,76699136,0,16981820122,-849091007,0,-849091007,16132729115,0,16132729115,647,0
2016,2,123762807035,0,123762807035,-87313056971,36449750064,306567998,-6966825974,-6966825974,-8529800335,-3784231242,17475460511,40136980,-16200000,23936980,0,17499397491,-874969875,0,-874969875,16624427616,0,16624427616,666,0
2016,3,85037551269,0,85037551269,-47796028760,37241522509,678449603,-7423708594,-7423708594,-9768374753,-4451887095,16276001670,15110000,-10000000,5110000,0,16281111670,-814055584,0,-814055584,15467056086,0,15467056086,620,0
2016,4,87937149662,0,87937149662,-48544512633,39392637029,139048787,-7715241893,-7715241893,-12022652325,-4454937528,15338854070,61061388,-2818746,58242642,0,15397096712,-2780195446,1975140611,-805054835,14592041877,0,14592041877,585,0
2017,1,82416577254,0,82416577254,-40759103924,41657473330,15325081834,-13893658620,-13893658620,-6569508542,-2386842678,34132545324,38260090,-1000000,37260090,0,34169805414,-4006681503,0,-4006681503,30163123911,0,30163123911,1209,0
2017,2,89464914625,0,89464914625,-37358429781,52106484844,727630650,-21585837921,-21585837921,-9797866171,-4286441321,17163970081,50005162,-139801062,-89795900,0,17074174181,-853708709,0,-853708709,16220465472,0,16220465472,650,0
2017,3,94974427569,0,94974427569,-47866765736,47107661833,1479797374,-20806107629,-20806107629,-8527576598,-3077161463,16176613517,20520989,0,20520989,0,16197134506,-809856725,0,-809856725,15387277781,0,15387277781,617,0
2017,4,95646867238,0,95646867238,-41079070117,54567797121,1919780894,-20283913943,-20283913943,-12649639506,-4501768850,19052255716,1922219994,-3511157342,-1588937348,0,17463318368,-2604952710,1522611424,-1082341286,16380977082,0,16380977082,657,0
2018,1,92611785844,0,92611785844,-45152251379,47459534465,1686299234,-19400795386,-19400795386,-7909531732,-4046818869,17788687712,30158257,-16700800,13457457,0,17802145169,-890107258,0,-890107258,16912037911,0,16912037911,678,0
2018,2,96076950001,0,96076950001,-44405125821,51671824180,1296769620,-19004649247,-19004649247,-12164480580,-3736316236,18063147737,306917296,-39777312,267139984,0,18330287721,-916514386,0,-916514386,17413773335,0,17413773335,698,0
2018,3,93718799997,0,93718799997,-46976710833,46742089164,1131199184,-17723357572,-17723357572,-9303436511,-2547935162,18298559103,17972100,-9200000,8772100,0,18307331203,-915366560,0,-915366560,17391964643,0,17391964643,697,0
2018,4,94189708227,0,94189708227,-48665673970,45524034257,1149205141,-16421576960,-16421576960,-9647872478,-2945317479,17658472481,21225130,-77635234,-56410104,0,17602062377,-4065781173,3149602500,-916178673,16685883704,0,16685883704,669,0
2019,1,89100859125,0,89100859125,-40761290357,48339568768,1127364013,-16046060108,-16046060108,-11576228720,-3769708495,18074935458,90513876,-34730001,55783875,0,18130719333,-906535967,0,-906535967,17224183366,0,17224183366,690,0
2019,2,95779445457,0,95779445457,-45880330068,49899115389,891860448,-15339352504,-15339352504,-12419381369,-4341862935,18690379029,69879114,-15500041,54379073,0,18744758102,-937237905,0,-937237905,17807520197,0,17807520197,714,0
2019,3,95342709112,0,95342709112,-50936616608,44406092504,812003960,-14556199296,-14556199296,-9474058535,-2777031554,18410807079,31908405,-11700000,20208405,0,18431015484,-921550774,0,-921550774,17509464710,0,17509464710,702,0
2019,4,99002513611,0,99002513611,-48919029471,50083484140,1061304246,-14018750926,-14018750926,-10747390880,-3334498572,23044148008,381632760,-4862801044,-4481168284,0,18562979724,-2951648843,1741122305,-1210526538,17352453186,0,17352453186,696,0
2020,1,89406427277,0,89406427277,-23587427676,65818999601,948292940,-27065069024,-27065069024,-16657103138,-4560224724,18484895655,69384549,-1000000,68384549,0,18553280204,-3710656041,0,-3710656041,14842624163,0,14842624163,595,0
2020,2,88598436355,0,88598436355,-37790455875,50807980480,854287715,-26037655117,-26037655117,-5560658392,-1468716882,18595237804,31002996,-6075657,24927339,0,18620165143,-3724033029,0,-3724033029,14896132114,0,14896132114,597,0
