Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2013,2,156509874515,0,156509874515,-130848728471,25661146044,195009891,-2773749938,-2841103198,-16868424057,-3262194229,2951787711,7103263538,-175643911,6927619627,955917120,10835324458,-2474196843,-30496472,-2504693315,8330631143,0,8330631143,479,0
2013,3,340036331394,0,340036331394,-275694145986,64342185408,769101900,-4070882656,-4929912204,-29630691705,-2793567292,28616145655,1730665210,-175255169,1555410041,-304059382,29867496314,-9473527626,2216759,-9471310867,20396185447,0,20396185447,1172,0
2013,4,116759892132,0,116759892132,-95835766801,20924125331,259699681,-4416144875,-3915822217,-14735572998,-2982974920,-950867781,2405560902,-227531235,2178029667,0,1227161886,-473708035,16458566,-457249469,769912417,0,769912417,44,0
2014,4,210393760862,0,210393760862,-182392813566,28000947296,2438407132,2202701077,-3732924812,-20127888220,-1695735251,10818432034,677955164,-804767664,-126812500,0,10691619534,-588614532,-139356685,-727971217,9963648317,0,9963648317,462,0
2015,1,393281889502,0,393281889502,-334936440747,58345448755,239931151,-5541894070,-4753871079,-34452607968,-5380343237,13210534631,8560099590,-84887098,8475212492,-278318169,21407428954,-4816003573,203291178,-4612712395,16794716559,0,16794716559,520,0
2015,2,427082336796,-33561600,427048775196,-382957284080,44091491116,20221600511,-7999546438,-3877743075,-25305249964,-12413464074,18594831151,11169910,-6885817516,-6874647606,-111899518,11608284027,-3707187416,-168342076,-3875529492,7732754535,0,7732754535,80,0
2015,3,498486294649,0,498486294649,-453779924577,44706370072,7027993211,-9531422707,-7136194323,-35851141635,-10620749841,-4268950900,1330250541,-46684149,1283566392,554695085,-2430689423,-2543057625,634298158,-1908759467,-4339448890,0,-4339448890,-65,0
2015,4,304935790684,0,304935790684,-254334785310,50601005374,29968813595,3213524791,-6988957766,-32920216124,3287469699,54150597335,12664092953,-255140009,12408952944,0,66559550279,-11805256971,55976275,-11749280696,54810269583,0,54810269583,467,0
2016,1,267539950255,0,267539950255,-221290762790,46249187465,9898972438,-7793416082,-7773132956,-29498985460,-5796318457,13059439904,7484243518,-208630195,7275613323,0,20335053227,-4080016197,286381642,-3793634555,16541418672,0,16541418672,141,0
2016,2,367569620275,0,367569620275,-313532376848,54037243427,6484295797,-8506991551,-9088715934,-28694818127,-6005381294,17314348252,396441695,-129578951,266862744,0,17581210996,-3333392253,-178039804,-3511432057,14069778939,0,14069778939,120,0
2016,3,363453949745,0,363453949745,-320420324467,43033625278,5372167535,-9207645798,-8999736069,-27060183049,-6097303092,6040660874,1488149371,-48534678,1439614693,0,7480275567,-1170853184,-501809975,-1672663159,5807612408,0,5807612408,50,0
2016,4,613506897522,-131962622,613374934900,-550115269880,63259665020,9094541554,-13074872895,-11257133859,-22946483565,-6700527137,29632322977,4146052258,-84786871,4061265387,0,33693588364,-8415655239,1221995155,-7193660084,26499928280,0,26499928280,226,0
2017,1,278831856863,0,278831856863,-228210108588,50621748275,10040031604,-11674567383,-10115600826,-25288108199,-6129997812,17569106485,3848278641,-9640797,3838637844,0,21407744329,-3981345313,60254349,-3921090964,17486653365,0,17486653365,149,0
2017,2,373588013941,-251528500,373336485441,-313828919524,59507565917,7702604916,-14849877674,-12945831677,-33266549396,-8169605499,10924138264,4913327287,-32509964,4880817323,0,15804955587,-3558598116,-84918101,-3643516217,12161439370,0,12161439370,78,0
2017,3,380427145460,-16669003,380410476457,-335450765430,44959711027,9089328433,-11475171988,-11101692615,-20702486949,-7235556177,14635824346,1517920743,-11241966,1506678777,0,16142503123,-3363114846,-115075933,-3478190779,12664312344,0,12664312344,108,0
2017,4,688725696432,-44500400,688681196032,-646970244794,41710951238,9162446478,-13643086968,-13648428798,-28530854660,-10292024345,-1592568257,4106766874,-131309800,3975457074,0,2382888817,-870952955,-74674293,-945627248,1437261569,0,1437261569,12,0
2018,1,149179045421,0,149179045421,-131628058370,17550987051,22765693097,-9774728216,-10213816175,-27750924532,-9097264892,-6306237492,55849910,-106200641,-50350731,0,-6356588223,-3001098939,3453972398,452873459,-5903714764,0,-5903714764,-32,0
2018,2,267142188733,-14521838286,252620350447,-247090130264,5530220183,22942664552,-15087406493,-14355886364,-27896335854,-35720692833,-50231550445,3105749215,-3614200435,-508451220,0,-50740001665,-330860384,-3441322055,-3772182439,-54512184104,0,-54512184104,-299,0
2018,3,252228747749,-7956916250,244271831499,-222414981824,21856849675,23225005390,-10573427470,-9780948692,-19351015525,-7556440196,7600971874,126292456,-731762281,-605469825,0,6995502049,-2324476715,250659656,-2073817059,4921684990,0,4921684990,27,0
2018,4,194735674827,0,194735674827,-193385703814,1349971013,111553859420,-28125300269,-12891019306,-21622836746,-23677383964,39478309454,688616857,-3256851659,-2568234802,0,36910074652,-2818131117,-5697181137,-8515312254,28394762398,0,28394762398,155,0
2019,1,177036276689,-412683972,176623592717,-170340993788,6282598929,27770744737,-5041867995,-5016902352,-12447058634,-7019352570,9545064467,138283714,-7959368,130324346,0,9675388813,-3221798255,-168214876,-3390013131,6285375682,1933078953,4352296729,34,0
2019,2,621541818157,-1309623125,620232195032,-610406691454,9825503578,27658109012,-16950821777,-16153945581,-12782033959,-5531177077,2219579777,3713515814,-472793540,3240722274,0,5460302051,561967886,132150944,694118830,6154420881,-740589354,6895010235,34,0
2019,3,641639122910,-2669455575,638969667335,-631401791680,7567875655,27987684384,-6730385451,-6684354596,-13630996785,-4992226268,10201951535,817064452,-417037820,400026632,0,10601978167,-1109399030,-7114764,-1116513794,9485464373,651974742,8833489631,52,0
2019,4,208771368684,-12161517798,196609850886,-178071833177,18538017709,27926852385,-10657849531,-11525722225,-10192315553,-41772382988,-16157677978,1774267049,-2345818304,-571551255,0,-16729229233,3472691093,313403983,3786095076,-12943134157,-1819604041,-11123530116,-71,0
2020,1,80552690165,-470153014,80082537151,-72240210699,7842326452,19396488659,-7343551599,-6377825557,-11876375604,-6203000382,1815887526,494706946,-1278305346,-783598400,0,1032289126,-444976975,-41234398,-486211373,546077753,18602548,527475205,3,0
2020,2,109824321567,-8244307978,101580013589,-99560717253,2019296336,22187231689,-2948338268,-3049640915,-16128152063,-4403860463,726177231,880010,-375303254,-374423244,0,351753987,-236794248,41234398,-195559850,156194137,14444484,141749653,1,0
