Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2014,2,10098166447,0,10098166447,-9552996451,545169996,13713387,-121505610,-121505610,0,-283608533,153769240,0,0,0,0,153769240,0,0,0,153769240,0,153769240,-45,0
2014,3,7153442727,0,7153442727,-6794786389,358656338,13680658,-100156312,0,0,-262842882,9337802,1178,0,1178,0,9338980,0,0,0,9338980,0,9338980,0,0
2014,4,34546571092,0,34546571092,-32670580520,1875990572,18270275,-102833445,0,0,-718015495,1073411907,109391,-218500680,-218391289,0,855020618,0,0,0,855020618,0,855020618,0,0
2015,1,5234426799,0,5234426799,-5026149933,208276866,10668921,-62393329,0,0,-309673300,-153120842,9900000250,-9433863636,466136614,0,313015772,0,0,0,313015772,0,313015772,0,0
2015,2,4032127945,0,4032127945,-3994664456,37463489,10706892,-54452752,-116846081,0,-456914312,-463196683,-9403863282,9397863541,-5999741,0,-469196424,0,0,0,-469196424,0,-469196424,0,0
2015,3,20864461148,0,20864461148,-20149834836,714626312,303899,-14977637,0,0,-266925877,433026697,1,-300,-299,0,433026398,0,0,0,433026398,0,433026398,0,0
2015,4,49744754798,0,49744754798,-47460952931,2283801867,7000085312,-11657678,-11657678,0,-423118406,8849111095,908185451,-707265313,200920138,0,9050031233,-1887792732,0,-1887792732,7162238501,0,7162238501,358.11,0
2016,1,30635157000,0,30635157000,-29310584137,1324572863,6450419391,0,0,0,-337774021,7437218233,0,-91440000,-91440000,0,7345778233,-1616071211,0,-1616071211,5729707022,0,5729707022,0,0
2016,2,39020468080,0,39020468080,-36668007009,2352461071,90379752,0,0,0,-474105248,1968735575,0,-11812246,-11812246,0,1956923329,-265198620,0,-265198620,1691724709,0,1691724709,0,0
2016,3,15699570000,0,15699570000,-14700000000,999570000,199679823,-18434582,0,0,-352695410,828119831,0,0,0,0,828119831,-182186363,0,-182186363,645933468,0,645933468,30,0
2016,4,-7004030375,0,-7004030375,6317498869,-686531506,636938137,-17680278,-17680278,0,-370811358,-438085005,1067127553,-1997713425,-930585872,0,-1368670877,23228690,0,23228690,-1345442187,0,-1345442187,0,0
2017,1,0,0,0,0,0,116266114,-16385417,-16385417,0,-405301248,-305420551,0,-58833,-58833,0,-305479384,0,0,0,-305479384,0,-305479384,0,0
2017,2,0,0,0,0,0,542464595,-16156105,0,0,-904116005,-377807515,0,0,0,0,-377807515,-18625349,0,-18625349,-396432864,8135579,-404568443,0,0
2017,3,0,0,0,0,0,152063712,-22406856,0,-500000,-854681518,-725524662,2800,-1017159065,-1017156265,0,-1742680927,0,0,0,-1742680927,-4760636,-1737920291,-83,0
2017,4,16871364364,0,16871364364,-15244737748,1626626616,194946943,-21084037,-21084037,0,-955067431,845422091,3044524,-15000000,-11955476,0,833466615,-1018661,0,-1018661,832447954,45281394,787166560,0,0
2018,1,0,0,0,0,0,40053513,-19620787,-19620787,0,-552133377,-531700651,0,0,0,0,-531700651,0,0,0,-531700651,-4608539,-527092112,0,0
2018,2,6372160000,0,6372160000,-6137713120,234446880,43951,-18618442,-18618442,0,-1115644939,-899772550,15600000,-700000,14900000,0,-884872550,0,0,0,-884872550,-14253038,-870619512,-67,0
2018,3,0,0,0,0,0,0,0,0,0,-9270816,-9270816,600000000,-1172340359,-572340359,0,-581611175,0,0,0,-581611175,0,-581611175,0,0
2018,4,22471680000,0,22471680000,-20654133470,1817546530,58620,0,0,0,-310015224,1507589926,0,0,0,0,1507589926,0,0,0,1507589926,0,1507589926,71.8,0
2019,1,0,0,0,0,0,3686,0,0,0,-168946137,-168942451,0,0,0,0,-168942451,0,0,0,-168942451,0,-168942451,-8,0
2019,2,0,0,0,0,0,2816,0,0,0,-157863300,-157860484,0,0,0,0,-157860484,0,0,0,-157860484,0,-157860484,8,0
2019,3,0,0,0,0,0,0,0,0,0,-161826991,-161826991,0,0,0,0,-161826991,0,0,0,-161826991,0,-161826991,0,0
2019,4,84554903,0,84554903,-84554903,0,1550413414,0,0,0,-982802769,567610645,23150000,0,23150000,0,590760645,-27328964,0,-27328964,563431681,0,563431681,26.8,0
2020,1,769196129,0,769196129,-735750747,33445382,3000082774,0,0,0,-3001361056,32167100,0,0,0,0,32167100,-7880523,0,-7880523,24286577,0,24286577,1.2,0
2020,2,0,0,0,0,0,41065,0,0,0,-336885292,-336844227,0,-193385455,-193385455,0,-530229682,0,0,0,-530229682,0,-530229682,0,0
