Year,Quarter,A. Total Assets,I. Cash and Precious Metals,II. Balances with the SBV,III. Placements with and loans to other credit institutions,1. Balances with other credit institutions,2. Loans to other credit institutions,3. Allowance for balances with and loans to other credit,"IV. Trading Securities, net",1. Trading Securities,2. Less: Provision for diminution in value of Trading Securities,V. Derivatives and other financial assets,"VI. Loans and advances to customers, net",1. Loans and advances to customers,2. Less: Provision for losses on loans and advances to customers,VII. Debts purchase,1. Debts purchase,2. Allowance for losses on debts purchase,VIII. Investment Securities,1. Available-for Sales Securities,2. Held-to-Maturity Securities,3. Less: Provision for diminution in value of investment securities,IX. Investment in other entities and long term investments,1. Investment in joint ventures,2. Investments in associate companies,3. Other long-term investments,4. Less: Provision for diminuation in value of long term investments,X. Fixed Assets,1. Tangible fixed assets,2. Leased assets,3. Intagible fixed assets,XI. Investment Properties,XII. Other Assets,1. Receivables,2. Accrued interest and fee receivables,3. Deferred tax assets,4. Other assets,5. In which: Good will,6. Allowance for other assets,B. Liabilities and Shareholder's Equity,Total Liabilities,I. Due to Gov and borrowings from SBV,II. Deposits and borrowings from other credit institutions,1. Deposits from other credit institutions,2. Borrowings from other credit institutions,III. Deposits from customers,IV. Derivatives and other financial liabilities,"V. Funds received from Gov, international and other institutions",VI. Convertible bonds/CDs and other valuable papers issued,VII. Other liabilities,Sharehodler's Equity,I. Capital,1. Paid-in capital,2. Fund for basic construction,3. Capital surplus,4. Treasury shares,5. Preferred shares,6. Owner's other capital,II. Reserves,III. Foreign Currency Difference reserve,IV. Difference upon Assets Revaluation,V. Retained Earnings,VI. Minority interests,Minority Interest,CONTINGENT LIABILITIES,I. Letters of credit (L/C),1. Letters of credit at sight,2. Deferred letters of credit,3. Others,II. Credit guarantee,1. Loan guarantee,2. Payment guarantee,3. Performance guarantee,4. Tender guarantee,5. Export guarantee,6. Others,III. CREDIT COMMITMENTS,1. Foreign exchange transactions commitments,a. Foreign exchange buying commitments,b. Foreign exchange selling commitments,c. Swap commitments,d. Future commitments,2. Irrevocable loan commitments,3. Letters of credit commitments,4. Other commitments
2012,4,117569219817245,484886843676,2789224639025,30139871588327,21274231748327,8890044000000,-24404160000,13387278997,40564341662,-27177062665,5846612060,55561871885360,56813367696884,-1251495811524,0,0,0,12699275940349,7964233915704,4744905807961,-9863783316,430968582103,0,69484434182,365841525375,-4357377454,3879972204233,392977999428,0,3486994204805,68055213521,11495859029594,2685858927108,4538534628305,109916033,4271355558148,0,0,117569219817245,108061625411483,0,21777251159172,15505603159172,6271648000000,77598519536959,0,385245424157,4370388535054,3930220756141,9504833556313,8962251608400,8865795470000,0,101715710000,-5259571600,0,0,517724491381,8588742,0,24848867790,0,2760849449,5285168458408,336437333181,168801960954,167635372227,0,4948731125227,33554000000,0,0,0,0,4915177125227,336437333181,0,0,0,0,0,0,336437333181,0
2013,1,104399893037842,734673563012,3878040692195,19141737038063,17649815948063,1512420000000,-20498910000,41904577335,68158692362,-26254115027,40163366959,53779197670616,54894408466852,-1115210796236,0,0,0,10714215680154,7247867775981,3475166710589,-8818806416,431073300382,0,0,435325699075,-4252398693,3871482158147,384913900901,0,3486568257246,85456213521,11681948777458,2140223411336,4661146943247,109916033,4934553710737,0,-54085203895,104399893037842,94709009122778,0,11275771312180,9508071312180,1767700000000,78411150669323,0,423399018137,2171682722982,2427005400156,9688118665701,8962251608400,8865795470000,0,101715710000,-5259571600,0,0,517724491381,-34196160592,0,242338726512,0,2765249363,4876730026455,0,0,0,0,4876730026455,30856045361,0,0,0,0,4845873981094,485452082700,0,0,0,0,0,0,485452082700,0
2013,2,104476632000000,623547000000,690273000000,19034531000000,10533930000000,8511944000000,-11343000000,75080000000,102000000000,-26920000000,7271000000,56666436000000,58478666000000,-1812230000000,0,0,0,11295340000000,6540100000000,4764425000000,-9185000000,373200000000,0,0,400428000000,-27228000000,4081306000000,352834000000,0,3728472000000,83787000000,11545861000000,2254470000000,4539933000000,110000000,4823768000000,0,-72420000000,104476632000000,94721509000000,0,12709949000000,9441996000000,3267953000000,76861240000000,0,442337000000,2618297000000,2089686000000,9752370000000,8962251000000,8865795000000,0,101716000000,-5260000000,0,0,517732000000,-55286000000,0,327673000000,0,2753000000,5801021000000,0,0,0,0,5801021000000,332554000000,0,0,0,0,5468467000000,1140864000000,0,0,0,0,0,0,1140864000000,0
2013,3,116764309530618,623083804931,1784359826247,18961441701651,5857046281215,13144085001951,-39689581515,36137812839,60076686487,-23938873648,0,63744039590515,65487354474974,-1743314884459,0,0,0,14669905849834,8918837200346,5760197088505,-9128439017,358872725396,0,0,410841525375,-51968799979,4058534993267,337026192366,0,3721508800901,83787448216,12444145777722,2095147103430,5613745705749,11977838,4806740948361,0,-71499957656,116764309530618,106721913689838,0,14502363736874,2750345736874,11752018000000,80583385157918,6042266955,463953806027,8831521658982,2334647063082,10039644444332,8962251608400,8865795470000,0,101715710000,-5259571600,0,0,517732620835,-63626871906,0,623287087003,0,2751396448,5484563818055,0,0,0,0,5484563818055,332554000000,0,0,0,0,5152009818055,1911891874183,0,0,0,0,0,0,1911891874183,0
2013,4,143740239158525,541115104930,1818056606222,30312264236828,17789572129954,12636028000000,-113335893126,29157604973,51886593600,-22728988627,0,75184324216241,76482488720662,-1298164504421,0,0,0,18655008569730,8101621921206,10562229371141,-8842722617,358872725396,0,0,410841525375,-51968799979,4150488355198,404903393219,0,3745584961979,17248101360,12673703637647,2087996113928,5784196149368,109916033,4876308994893,0,-74907536575,143740239158525,133410042774225,2119144618490,20685380967956,12155602567956,8529778400000,90714318463223,6271815107,476390065077,16909574923018,2498961921354,10327420437838,8962251608400,8865795470000,0,101715710000,-5259571600,0,0,517732631379,29,0,847436198030,0,2775946462,6563844669957,0,0,0,0,6563844669957,486276000000,0,0,0,0,6077568669957,1774825693042,0,0,0,0,0,0,1774825693042,0
2014,1,128031122128190,618459316744,1112568768422,11351778156662,8286592156662,3065186000000,0,76619691352,94186091971,-17566400619,6715301827,81355356310003,82304183880487,-948827570484,0,0,0,15762873936778,7019421518431,8750947509064,-7495090717,320301923558,0,31798000000,347427625375,-58923701817,4141154657145,389085318852,0,3752069338293,17209876701,13268084188998,2445654823995,5980681276758,109916033,5097352169123,0,-255713996911,128031122128190,117446224540346,502840842178,3180794191652,2481428191652,699366000000,98082271104040,0,493409210978,12357205900018,2829703291480,10582098740537,9604731919876,8865795470000,0,101715710000,-5259571600,0,642480311476,5092155219,0,0,972274665442,0,2798847307,7846297164641,0,0,0,0,7846297164641,486724000000,0,0,0,0,7359573164641,2495837962854,0,0,0,0,0,0,2495837962854,0
2014,2,140539135000000,622326000000,941553000000,18040073000000,13363987000000,4676086000000,0,65317000000,90205000000,-24888000000,10535000000,90201302000000,91479454000000,-1278152000000,0,0,0,12716438000000,6485753000000,6322397000000,-91712000000,346481000000,0,0,379226000000,-32745000000,4131075000000,387696000000,0,3743379000000,17172000000,13446863000000,2499682000000,6189023000000,0,5019029000000,0,-260871000000,140539135000000,129777794000000,0,10570644000000,7944579000000,2626065000000,109470957000000,0,585907000000,6642701000000,2507585000000,10758490000000,8962251000000,8865795000000,0,101716000000,-5260000000,0,0,626086000000,601000000,0,1169552000000,0,2851000000,12165471000000,4595939000000,0,0,4595939000000,7569532000000,187746000000,0,0,0,0,7381786000000,0,0,0,0,0,0,0,0,0
2014,3,153159691446081,769008909978,1473146084873,24990970570638,22577392570638,2413578000000,0,32504134111,47616145340,-15112011229,7240766570,94789342224907,96099746966959,-1310404742052,0,0,0,13032191451244,6169349973347,7036604742486,-173763264589,287481518402,0,0,345045625375,-57564106973,4114074457283,378236186590,0,3735838270693,17133427383,13646597900692,1608142989746,7326813992283,0,4941562338062,0,-229921419399,153159691446081,142812574689733,761158416675,19490881639570,14306111981331,5184769658239,114740207400886,0,0,5179000000000,2641327232602,10344281150669,8962251608400,8865795470000,0,101715710000,-5259571600,0,0,626086445176,-5777575255,0,761720672348,0,2835605679,10960828773174,0,0,0,0,10960828773174,187866000000,0,0,0,0,10772962773174,4810709063377,0,0,0,0,0,0,4810709063377,0
2014,4,169363239079809,801432729071,3322399507884,29520149520740,24870197520740,4649952000000,0,31828355329,50876907803,-19048552474,18611374005,102890413131285,104094013601191,-1203600469906,0,0,0,13664524970850,5794805613458,8043327271781,-173607914389,301032804791,0,0,341590625375,-40557820584,4104702971651,382860181684,0,3721842789967,17095202724,14691048511479,1561121821965,7146363117307,0,6026063406469,0,-42499834262,169363239079809,158844121567348,761158416675,28357377628211,21506419809004,6850957819207,123214670558200,0,0,3911000000000,2599914964262,10516233871298,8962251608400,8865795470000,0,101715710000,-5259571600,0,0,626086445176,0,0,927895817722,0,2883641163,11152075330656,0,0,0,0,11152075330656,187506000000,0,0,0,0,10964569330656,4761609286531,0,0,0,0,0,0,4761609286531,0
2015,1,165929895000000,1124952000000,2804573000000,17163250000000,16468387000000,700000000000,-5137000000,32687000000,54338000000,-21651000000,12721000000,110848762000000,111900789000000,-1052027000000,0,0,0,13447973000000,5781744000000,8033082000000,-366853000000,307233000000,0,0,326802000000,-19569000000,4078064000000,363831000000,0,3714233000000,17057000000,16092623000000,1506496000000,7769372000000,0,6870714000000,0,-53959000000,165929895000000,155247813000000,0,12156903000000,11079795000000,1077108000000,134601536000000,0,224827000000,5601100000000,2663447000000,10679173000000,8962251000000,8865795000000,0,101716000000,-5260000000,0,0,734463000000,2502000000,0,979957000000,0,2909000000,17412544000000,6708018000000,0,0,6708018000000,10704526000000,191990000000,0,0,0,0,10512536000000,0,0,0,0,0,0,0,0,0
2015,2,177392423000000,1093686000000,2584415000000,19331832000000,17031832000000,2305137000000,-5137000000,155271000000,173755000000,-18484000000,0,117445970000000,118601890000000,-1155920000000,0,0,0,18009634000000,5668239000000,12713246000000,-371851000000,308817000000,0,0,324302000000,-15485000000,4057553000000,350296000000,0,3707257000000,17019000000,14388226000000,1673287000000,7892700000000,0,4879122000000,0,-56883000000,177392423000000,166558802000000,1583000000,17218830000000,14997460000000,2221370000000,140955432000000,7832000000,268909000000,5611000000000,2495216000000,10830664000000,8962251000000,8865795000000,0,101716000000,-5260000000,0,0,754463000000,0,0,1113950000000,0,2957000000,9468103000000,0,0,0,0,9468103000000,191875000000,0,0,0,0,9276228000000,24145596000000,11218909000000,2892000000,327962000000,10888055000000,0,0,8551687000000,4375000000000
2015,3,183308815000000,1119252000000,1818309000000,23046426000000,21402909000000,1648654000000,-5137000000,18355000000,35224000000,-16869000000,0,121306170000000,122566945000000,-1260775000000,0,0,0,14295909000000,5059581000000,9646298000000,-409970000000,308071000000,0,0,324302000000,-16231000000,4031406000000,328346000000,0,3703060000000,16981000000,17347936000000,1244931000000,8874553000000,0,7284552000000,0,-56100000000,183308815000000,172231468000000,16133000000,18762221000000,16184309000000,2577912000000,144220906000000,14052000000,370190000000,5567800000000,3280166000000,11074579000000,9582401000000,9485945000000,0,101716000000,-5260000000,0,0,754463000000,-8781000000,0,746496000000,0,2768000000,12058035000000,0,0,0,0,12058035000000,193394000000,0,0,0,0,11864641000000,8780132000000,0,0,0,0,0,0,8780132000000,0
2015,4,204764526000000,1917860000000,4328011000000,29826302000000,25968439000000,3863000000000,-5137000000,18695000000,35244000000,-16549000000,0,130005807000000,131427193000000,-1421386000000,0,0,0,15303484000000,5416753000000,10399493000000,-512762000000,303409000000,0,0,313397000000,-9988000000,4055221000000,359973000000,0,3695248000000,0,19005737000000,1841570000000,8847858000000,0,8386901000000,0,-70592000000,204764526000000,193506931000000,4224915000000,28144411000000,24318376000000,3826035000000,148812924000000,100011000000,414632000000,8259448000000,3550590000000,11254879000000,9582401000000,9485945000000,0,101716000000,-5260000000,0,0,754463000000,0,0,918015000000,0,2716000000,10529663000000,0,0,0,0,10529663000000,193394000000,0,0,0,0,10336269000000,7841919000000,0,0,0,0,0,0,7841919000000,0
2016,1,203630991000000,1025106000000,2261922000000,25291400000000,23303037000000,1993500000000,-5137000000,52866000000,67961000000,-15095000000,0,136057728000000,137646974000000,-1589246000000,0,0,0,18250069000000,8996049000000,9816868000000,-562848000000,288855000000,0,0,298843000000,-9988000000,4032249000000,343480000000,0,3688769000000,16955000000,16353841000000,1668083000000,8993856000000,0,5762584000000,0,-70682000000,203630991000000,192079594000000,517585000000,24462489000000,20648184000000,3814305000000,154816894000000,36740000000,410616000000,8439899000000,3395371000000,11548939000000,9582401000000,9485945000000,0,101716000000,-5260000000,0,0,864064000000,-782000000,0,1103256000000,0,2458000000,9468210000000,0,0,0,0,9468210000000,193483000000,0,0,0,0,9274727000000,8297968000000,0,0,0,0,0,0,8297968000000,0
2016,2,211886967000000,1145033000000,3455674000000,26522021000000,22693658000000,3833500000000,-5137000000,52225000000,67069000000,-14844000000,0,139403585000000,140946927000000,-1543342000000,0,0,0,19352144000000,10624291000000,9475057000000,-747204000000,289609000000,0,0,298843000000,-9234000000,4015259000000,339858000000,0,3675401000000,16879000000,17634538000000,1259616000000,9222016000000,0,7228985000000,0,-76079000000,211886967000000,200238827000000,805193000000,27701307000000,22688085000000,5013222000000,159267603000000,103271000000,754403000000,8480991000000,3126059000000,11648140000000,9582401000000,9485945000000,0,101716000000,-5260000000,0,0,864083000000,0,0,1199261000000,2395000000,0,9184410000000,0,0,0,0,9184410000000,178475000000,0,0,0,0,9005935000000,31756965000000,22089032000000,5922000000,5904000000,22077206000000,0,0,9667933000000,0
2016,3,215007857000000,1413026000000,1513024000000,24411462000000,20078099000000,4338500000000,-5137000000,50366000000,65436000000,-15070000000,0,145627057000000,147340395000000,-1713338000000,0,0,0,20203211000000,11522827000000,9421937000000,-741553000000,225953000000,0,0,233594000000,-7641000000,3854849000000,328075000000,0,3526774000000,16955000000,17691954000000,1315633000000,10170800000000,0,6283148000000,0,-77627000000,215007857000000,203043710000000,970665000000,21991856000000,16820861000000,5170995000000,163082658000000,62264000000,779783000000,12504991000000,3651493000000,11961758000000,9582401000000,9485945000000,0,101716000000,-5260000000,0,0,864079000000,0,7063000000,1508215000000,0,2389000000,8768132000000,0,0,0,0,8768132000000,178327000000,0,0,0,0,8589805000000,9532825000000,0,0,0,0,0,0,9532825000000,0
2016,4,234785824000000,1291694000000,2718756000000,30930113000000,23758250000000,7177000000000,-5137000000,40900000000,65383000000,-24483000000,0,160584473000000,162370188000000,-1785715000000,0,0,0,18808400000000,10788497000000,9439853000000,-1419950000000,222949000000,0,0,229394000000,-6445000000,3962052000000,424046000000,0,3538006000000,16955000000,16209532000000,1298368000000,8207541000000,0,6784533000000,0,-80910000000,234785824000000,221502880000000,2572420000000,32134175000000,23590467000000,8543708000000,166809425000000,33947000000,2541354000000,13767675000000,3643884000000,13280610000000,11293347000000,11196891000000,0,101716000000,-5260000000,0,0,913299000000,0,0,1073964000000,0,2334000000,12586167000000,0,0,0,0,12586167000000,163683000000,0,0,0,0,12422484000000,11139315000000,0,0,0,0,0,0,11139315000000,0
2017,1,247910479000000,1362571000000,1877469000000,31271036000000,27366173000000,3910000000000,-5137000000,44622000000,59959000000,-15337000000,0,170155537000000,172089883000000,-1934346000000,0,0,0,21994972000000,13661515000000,9769978000000,-1436521000000,235807000000,0,0,242252000000,-6445000000,3940293000000,409484000000,0,3530809000000,16955000000,17011217000000,1331473000000,8367571000000,0,7536692000000,0,-224519000000,247910479000000,234451112000000,2148848000000,35861057000000,29974896000000,5886161000000,176008330000000,41308000000,2896364000000,13512234000000,3982971000000,13457119000000,11293347000000,11196891000000,0,101716000000,-5260000000,0,0,1038266000000,-4005000000,0,1129511000000,0,2248000000,13712520000000,0,0,0,0,13712520000000,164002000000,0,0,0,0,13548518000000,12048615000000,0,0,0,0,0,0,12048615000000,0
2017,2,249738755000000,1276726000000,2174570000000,23682875000000,21442875000000,2240000000000,0,2399412000000,2403346000000,-3934000000,0,177903580000000,179726873000000,-1823293000000,0,0,0,21550989000000,13085605000000,10024952000000,-1559568000000,225462000000,0,242250000000,0,-16788000000,3911924000000,388719000000,0,3523205000000,16745000000,16596472000000,2356806000000,8742819000000,0,5728614000000,0,-231767000000,249738755000000,235878716000000,998789000000,33641859000000,24928867000000,8712992000000,179322299000000,481000000,794702000000,17050528000000,4070058000000,13857655000000,11293347000000,11196891000000,0,101716000000,-5260000000,0,0,1039668000000,18677000000,0,1505963000000,0,2384000000,15704406000000,0,0,0,0,15704406000000,164847000000,0,0,0,0,15539559000000,25003473000000,14932020000000,0,52000000,14931968000000,0,0,10071453000000,0
2017,3,264300246000000,1265841000000,3525720000000,25211127000000,23063127000000,2148000000000,0,502977000000,506858000000,-3881000000,64904000000,189530782000000,191726926000000,-2196144000000,0,0,0,21328582000000,13030802000000,10182951000000,-1885171000000,229013000000,0,0,242251000000,-13238000000,3899916000000,369752000000,0,3530164000000,16955000000,18724429000000,2074364000000,9226879000000,0,7651386000000,0,-228200000000,264300246000000,250921269000000,2783261000000,31525557000000,25883486000000,5642071000000,193177891000000,0,2423318000000,16461155000000,4550087000000,13378977000000,10293347000000,10196891000000,0,101716000000,-5260000000,0,0,1039883000000,1705000000,0,2041935000000,2107000000,0,30879647000000,12025970000000,0,0,12025970000000,18853677000000,180390000000,0,0,0,0,18673287000000,39710279000000,39710279000000,2067240000000,224700000000,37418339000000,0,0,0,0
