Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2013,4,333907219483,-8981163714,324926055769,-218631294894,106294760875,2097359420,-4862502134,-4527367058,-47072526998,-35424377519,21032713644,1922643841,-2303264065,-380620224,0,20652093420,-1843207215,-6278602038,-8121809253,12530284167,0,12530284167,0,0
2014,1,319255701391,-6750191865,312505509526,-202023395027,110482114499,1583707561,-4191239623,-4058023591,-44532946950,-33084322505,30257312982,879094600,-172793438,706301162,0,30963614144,-4623782360,-2548023525,-7171805885,23791808259,0,23791808259,1021,0
2014,2,441673330137,-8182868637,433490461500,-268213244800,165277216700,2331399377,-5514569344,-4080019451,-63030689984,-44120074767,54943281982,5192164708,-734083494,4458081214,0,59401363196,-19313798161,5448402280,-13865395881,45535967315,0,45535967315,1955,0
2014,3,504108020555,-7833289087,496274731468,-311946471938,184328259530,3310833282,-3936055365,-3665947453,-67498354165,-41379312657,74825370625,868463491,-79768814,788694677,0,75614065302,-19792645155,2238472901,-17554172254,58059893048,0,58059893048,0,0
2014,4,382930628052,-11624421581,371306206471,-235271113034,136035093437,4001452537,-3765038811,-3047766967,-67064532911,-44118801694,25088172558,3360980122,-2950430667,410549455,0,25498722013,-5043671483,-400458783,-5444130266,20054591747,0,20054591747,0,0
2015,1,368906383983,-6072483135,362833900848,-230835633516,131998267332,3596803554,-3510807919,-2699320300,-55858745525,-38751553219,37473964223,660172900,-104875906,555296994,0,38029261217,-11051617796,1120462930,-9931154866,28098106351,0,28098106351,1049,0
2015,2,493822556231,-6910167877,486912388354,-297294114214,189618274140,3548363732,-4649119531,-2483925870,-65337009525,-47548919760,75631589056,1969993806,-12794434,1957199372,0,77588788428,-18717879393,2241934729,-16475944664,61112843764,0,61112843764,1675,0
2015,3,577376971345,-4272337655,573104633690,-341716671371,231387962319,5245300525,-5297696425,-2805648948,-81877769846,-45451869446,104005927127,1371191411,-3724085376,-2352893965,0,101653033162,-21345824453,-1964919427,-23310743880,78342289282,0,78342289282,0,0
2015,4,474439145980,-13548478415,460890667565,-289139428972,171751238593,5218374317,-5655702616,-3142712955,-82840893827,-56035621408,32437395059,864869188,-902195527,-37326339,0,32400068720,-6966310913,-6133067286,-13099378199,19300690521,0,19300690521,0,0
2016,1,431655086351,-2745785129,428909301222,-259226172090,169683129132,3967638307,-4746304418,-3207416852,-61329000775,-46806043137,60769419109,1862174222,-2270793774,-408619552,0,60360799557,-13227870582,1197652996,-12030217586,48330581971,0,48330581971,1135,0
2016,2,624336370411,-3823386764,620512983647,-376041496715,244471486932,3768480855,-4308884783,-2819834098,-77025164566,-59992148162,106913770276,2093027051,53697813,2146724864,0,109060495140,-19955670245,-644133834,-20599804079,88460691061,0,88460691061,2007,0
2016,3,605586678881,-2343671800,603243007081,-360076025641,243166981440,5516025957,-2680215478,-2313269525,-93296727584,-60382352940,92323711395,919490318,1242240609,2161730927,0,94485442322,-21855845482,4641642751,-17214202731,77271239591,0,77271239591,0,0
2016,4,518625297273,-8974085185,509651212088,-320281539702,189369672386,7153832748,-4232902163,-2356891535,-78289807330,-71464856202,42535939439,1592169498,-1551488661,40680837,0,42576620276,-10889751280,-6034401887,-16924153167,25652467109,0,25652467109,0,0
2017,1,539239678684,-2774341490,536465337194,-338837164243,197628172951,3933114931,-3198839055,-2486248795,-79730921905,-53714482485,64917044437,4490297892,-422237241,4068060651,0,68985105088,-15245607776,700804125,-14544803651,54440301437,0,54440301437,1279,0
2017,2,726106705539,-6353251842,719753453697,-435547801663,284205652034,4545447897,-3284846259,-2569675140,-94892252733,-65118559857,125455441082,2417040025,-168286575,2248753450,0,127704194532,-23597068924,787641143,-22809427781,104894766751,0,104894766751,1600,0
2017,3,654535850177,-3848355964,650687494213,-408508481827,242179012386,5286771268,-2882530974,-2253080066,-91332820194,-61831711839,91418720647,6022717513,-11314194,6011403319,0,97430123966,-21994371966,3862660982,-18131710984,79298412982,0,79298412982,0,0
2017,4,601018723411,-10524290640,590494432771,-380957313082,209537119689,4904365568,-2782923964,-2191286006,-105449884989,-67705117671,38503558633,2046906156,-64282523,1982623633,0,40486182266,-7412097952,-3649483407,-11061581359,29424600907,0,29424600907,0,0
2018,1,585900801933,-5757795234,580143006699,-364491088550,215651918149,2391828413,-3659140425,-2413420105,-84927521107,-60364996213,69092088817,3549470135,-123174180,3426295955,0,72518384772,-11242426013,-3171143885,-14413569898,58104814874,0,58104814874,1034,0
2018,2,826832809040,-7693014398,819139794642,-501224262799,317915531843,3246033141,-4344772434,-2814412147,-117018552254,-70708601446,129089638850,3343224084,21621839,3364845923,0,132454484773,-26957433036,528766768,-26428666268,106025818505,0,106025818505,1888,0
2018,3,715276242764,-9073358338,706202884426,-429959554214,276243330212,4924348562,-3785509179,-2759813721,-108050169325,-64946053232,104385947038,1777561260,-71201806,1706359454,0,106092306492,-25734686843,4916098567,-20818588276,85273718216,0,85273718216,0,0
2018,4,753384878757,-3094214310,750290664447,-493432576820,256858087627,2950944803,-5119115838,-3080496486,-122627738768,-76729207985,55332969839,2635278850,-762553346,1872725504,0,57205695343,-9081430623,-3144374167,-12225804790,44979890553,0,44979890553,0,0
2019,1,589081791845,-7845539687,581236252158,-387579997822,193656254336,1448839230,-3842014818,-3751159675,-87498084124,-64791636255,38973358369,2462754823,-38117226,2424637597,0,41397995966,-8271504338,-476217008,-8747721346,32650274620,0,32650274620,415,0
2019,2,968249204453,-11697653709,956551550744,-572722668792,383828881952,8088650511,-3246453335,-2457489217,-125934317890,-72981137645,189755623593,1488972891,-172263783,1316709108,0,191072332701,-37032933362,-1376673731,-38409607093,152662725608,0,152662725608,2003,0
2019,3,778477854157,-8263259558,770214594599,-486251205362,283963389237,9254096448,-3280325581,-2335547104,-137396852616,-69730074628,82810232860,1960392565,-56721841,1903670724,0,84713903584,-22701076217,6836268750,-15864807467,68849096117,0,68849096117,0,0
2019,4,962902099550,-14795786982,948106312568,-608436486779,339669825789,11180433531,-3965242427,-2890357826,-152842135146,-77637369966,116405511781,3811263343,-550248797,3261014546,0,119666526327,-26006524748,1264951152,-24741573596,94924952731,0,94924952731,0,0
2020,1,472595050022,-4135964714,468459085308,-332924869236,135534216072,8947835104,-4296900078,-3906080747,-100084033183,-65230947828,-25129829913,2773549857,-1108583103,1664966754,0,-23464863159,-4244411032,7775584072,3531173040,-19933690119,0,-19933690119,256,0
2020,2,660174708586,-15366273412,644808435174,-429005553547,215802881627,5630646481,-4952020075,-3170122927,-111641887088,-60550292842,44289328103,2795734711,-140317261,2655417450,0,46944745553,-11662447483,1748377104,-9914070379,37030675174,0,37030675174,0,0
