Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2017,4,352215972759,-27323195420,324892777339,-248637781741,76254995598,829586700,-7612718005,-5091779950,-542258083,-13326294080,55603312130,1216064274,-5816323,1210247951,0,56813560081,-11616824270,0,-11616824270,45196735811,0,45196735811,1601,0
2018,1,249005130699,-9773085345,239232045354,-180006117188,59225928166,678259774,-7823505282,-7823505282,-337925184,-10082189951,41660567523,926078129,-6000000,920078129,0,42580645652,-8567435530,0,-8567435530,34013210122,0,34013210122,1205,0
2018,2,363647827334,-22866564017,340781263317,-270995233487,69786029830,98920719,-11335180973,-9784418748,-2986751265,-7742911834,47820106477,2306711294,-1343652246,963059048,0,48783165525,-10068384342,0,-10068384342,38714781183,0,38714781183,461,0
2018,3,444081021576,-30347196579,413733824997,-342344225468,71389599529,205211824,-10307535043,-9361619726,-1361622276,-8700418451,51225235583,1799452163,-1222796783,576655380,0,51801890963,-10393978193,0,-10393978193,41407912770,0,41407912770,1129,0
2018,4,505183789614,-43883877612,461299912002,-366960484494,94339427508,74535560,-7910378968,-7910378968,-8220425143,-12406359056,65876799901,1253916097,-158134166,1095781931,0,66972581832,-12395842135,0,-12395842135,54576739697,0,54576739697,1487,0
2019,1,239260909493,-14128718021,225132191472,-171737553827,53394637645,29829880,-7839945825,-7839945825,-1420455235,-9251947321,34912119144,1497220476,0,1497220476,0,36409339620,-7281867924,0,-7281867924,29127471696,0,29127471696,794,0
2019,2,378128400888,-24998351956,353130048932,-299807123367,53322925565,790750854,-9744487567,-9078671147,-5093785003,-8057784657,31217619192,2736537993,-47155357,2689382636,0,33907001828,-6863267032,0,-6863267032,27043734796,0,27043734796,660,0
2019,3,489216496303,-27858188608,461358307695,-380495040633,80863267062,15267256,-5312511722,-5963559961,-1759933149,-11848730315,61957359132,3742755876,-3205037,3739550839,0,65696909971,-13101865044,0,-13101865044,52595044927,0,52595044927,1433,0
2019,4,472187206312,-47648379564,424538826748,-330167055704,94371771044,182109253,-5442978195,-5419963322,-3929641211,-16102032109,69079228782,2965416838,0,2965416838,0,72044645620,-14060824717,0,-14060824717,57983820903,0,57983820903,1580,0
2020,1,170280286712,-8614986475,161665300237,-151986238773,9679061464,111863483,-4888187575,-4888187575,-1556876909,-3605735630,-259875167,1814287321,0,1814287321,0,1554412154,-310882431,0,-310882431,1243529723,0,1243529723,34,0
2020,2,353694269260,-14843833045,338850436215,-275808972623,63041463592,12071423,-4897542376,-4885269649,-1552310051,-7505140763,49098541825,1640365758,-5322380,1635043378,0,50733585203,-9896679869,0,-9896679869,40836905334,0,40836905334,1113,0
