Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2015,4,236824258674,-117996063436,-16822899094,0,-8923874712,25120836088,-66200475698,7052415340,52001781822,-2414412000,0,0,0,0,0,295740228,-2118671772,0,0,0,0,0,-3572360301,0,-3572360301,46310749749,129002929927,-4129651,175309550025
2016,1,161693887706,-115170948360,-16394834103,0,-8980461137,24548247235,-102100479772,0,-56404588431,-430009000,0,0,0,0,0,148660512,-281348488,0,0,0,0,0,-34695072375,0,-34695072375,-91381009294,175309550025,5047,83928545778
2016,2,0,0,0,0,0,0,0,5036428564,93808576182,-63812748062,0,0,0,0,0,322418156,-63490329906,0,0,0,0,0,-404927625,0,-404927625,29913318651,83928545778,-442691190,113399173239
2016,3,290351896727,-107715374211,-9953182220,0,-16245787999,68447694765,-155030037643,0,69855209419,-180000000,870000000,0,0,0,0,207478479,897478479,0,0,0,0,0,-67681782450,0,-67681782450,3070905448,113399173239,0,116470078687
2016,4,216799249267,-178445542522,-5757347583,0,-18816091260,36511689099,9947977922,0,60239934923,-535557272,140817212,-87000000000,12000000000,0,0,193891784,-75200848276,0,0,0,0,0,-22550647700,0,-22550647700,-37511561053,116470078687,303148254,79261665888
2017,1,244028422578,-117090699949,-12110435617,0,-13318005294,8534133172,-52812816617,0,57230598273,-830000000,0,-14500000000,64343548387,0,0,2632865354,51646413741,0,0,0,0,0,0,0,0,108877012014,79261665888,0,188138677902
2017,2,92161935536,0,0,0,0,0,0,0,92161935536,-31322276967,45454545,-50500000000,15656451613,0,0,1664726369,-64455644440,0,0,0,0,0,0,0,0,27706291096,188138677902,80331573,215925300571
2017,3,0,0,0,0,0,0,0,0,110280404094,-3554664050,-25788848,-14500000000,14500000000,0,0,-2392677106,-5973130004,0,0,0,0,0,-54176458560,0,-54176458560,50130815530,215925300571,1317,266056117418
2017,4,442082449725,-177353208640,-18815576021,0,-26837963238,408258616861,-573072504555,0,54261814132,-5423604618,4547112820,-1460000000,0,0,0,688736503,-1647755295,0,0,0,0,0,-1983541440,0,-1983541440,50630517397,266056117418,-50426,316686584389
2018,1,259595635229,-133928346585,-13380172499,0,0,336163771990,-508934288513,0,-60483400378,-28760790010,72727273,0,66982500000,0,0,6318902016,44613339279,0,0,0,0,0,0,0,0,-15870061099,316146668225,31771,300276638897
2018,2,0,0,0,0,0,0,0,0,-74875424404,-677179661398,42176646320,0,1460000000,0,0,10358052242,-623184962836,0,0,528663681815,0,0,0,0,528663681815,-169396705425,300276638897,898687,130880832159
2018,3,0,0,0,0,0,0,0,0,25606626533,-21646683647,5229035520,0,0,-5000000000,0,-3199672311,-24617320438,2450000000,0,43820536906,-25639990395,-2506566461,-37440000000,0,-19316019950,-18326713855,130880832159,196196,112554314500
2018,4,321653650240,-122022753988,-24075915135,-25100310997,-38172666490,298252331359,-326086952496,0,84447382493,-69264442466,16438448261,0,0,-30000000000,0,1388247121,-81437747084,23000000000,0,53070247148,-63785980678,-2506566461,0,0,9777700009,12787335418,112554314500,-49590847,125292059071
2019,1,260616975539,-248601352124,-15698202944,-2193126285,-25825488505,183020450116,-78667146816,17631045746,72652108981,-78628261852,2283000000,-7000000000,0,0,0,441682201,-82903579651,0,0,44793428966,-26311695454,-3332125238,0,0,15149608274,4898137604,125292059071,0,130190196675
2019,3,0,0,0,0,0,0,0,8737028060,220163160569,-85123752386,976073363,0,0,-439494825000,0,6904684,-523635599339,0,-2331000000,357184786974,-35217714564,-3332125238,0,0,316303947172,12831508402,98534947303,0,111366455705
2019,4,301049559831,-138405072733,-15739339687,-26169103636,-22792251155,347009792034,-246634704329,0,198318880325,-19946257091,0,-2500000000,0,-150000000000,0,75819691,-172370437400,0,0,55820078097,-50218273732,-3332125238,0,0,2269679127,28218122052,111366455705,-73156,139584504601
2020,1,368096385033,-297938404131,-13862889108,-21755632647,-38344490974,135777957279,-161444042692,0,-29471117240,-5474754966,0,-24566609438,0,0,0,45125964,-29996238440,0,0,37711685384,-42666573830,-3332125238,0,0,-8287013684,-67754369364,139584504601,0,71830135237
2020,2,552778089805,-225693059771,-14538929859,-26390019449,-657182469,177742683335,-35533192297,0,427708389295,-20518442913,0,0,850926000,0,0,44398781,-19623118132,0,0,386333697413,-533254804412,-3332125238,0,0,-150253232237,257832038926,71830135237,60049,329662234212
